Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
01CF	0.747483067911404	1737/2676	1740/2317	4642/5825	45/98	3/10
01CFG	0.76203551162365	1774/2676	1758/2317	4742/5825	48/98	4/10
01CG	0.738788211605345	1715/2676	1710/2317	4604/5825	41/98	2/10
01D	0.8218927329306241	1903/2676	1878/2317	5149/5825	47/98	3/10
01DE	0.8125572030020135	1879/2676	1859/2317	5093/5825	43/98	4/10
01DEF	0.8152114222954421	1895/2676	1857/2317	5105/5825	45/98	5/10
01DEFG	0.8176825919824272	1909/2676	1875/2317	5102/5825	42/98	6/10
01DEG	0.8120080541826835	1882/2676	1854/2317	5091/5825	41/98	4/10
01DF	0.8261028738788212	1926/2676	1884/2317	5160/5825	51/98	5/10
01DFG	0.8238147537982793	1919/2676	1872/2317	5156/5825	48/98	6/10
01DG	0.8211605345048508	1904/2676	1862/2317	5156/5825	46/98	4/10
01E	0.770730367929709	1764/2676	1781/2317	4836/5825	38/98	2/10
01EF	0.780798096284093	1791/2676	1799/2317	4895/5825	42/98	4/10
01EFG	0.7862895844773934	1807/2676	1793/2317	4941/5825	46/98	4/10
01EG	0.7734761120263591	1780/2676	1767/2317	4864/5825	36/98	4/10
01F	0.7699981695039355	1781/2676	1778/2317	4810/5825	41/98	3/10
01FG	0.7798828482518763	1806/2676	1779/2317	4886/5825	47/98	3/10
01G	0.7697235950942706	1788/2676	1738/2317	4844/5825	39/98	1/10
02	0.7853743364451766	1865/2676	1839/2317	4827/5825	48/98	2/10
02B	0.7879370309353835	1873/2676	1838/2317	4847/5825	49/98	2/10
02BC	0.7607541643785466	1805/2676	1795/2317	4661/5825	49/98	2/10
02BCD	0.8206113856855207	1923/2676	1887/2317	5107/5825	46/98	3/10
02BCDE	0.8131063518213436	1898/2676	1872/2317	5066/5825	44/98	4/10
02BCDEF	0.8184147904082006	1918/2676	1880/2317	5093/5825	45/98	6/10
02BCDEFG	0.8185063152114223	1913/2676	1876/2317	5101/5825	47/98	6/10
02BCDEG	0.8130148270181219	1894/2676	1869/2317	5073/5825	44/98	3/10
02BCDF	0.8241808530111661	1940/2676	1909/2317	5104/5825	47/98	5/10
02BCDFG	0.8240893282079443	1937/2676	1889/2317	5124/5825	49/98	5/10
02BCDG	0.8164927695405455	1912/2676	1866/2317	5093/5825	47/98	3/10
02BCE	0.7773201537616694	1817/2676	1810/2317	4823/5825	41/98	2/10
02BCEF	0.7883946549514919	1838/2676	1832/2317	4894/5825	47/98	3/10
02BCEFG	0.7904082006223687	1839/2676	1814/2317	4931/5825	47/98	5/10
02BCEG	0.7781438769906645	1817/2676	1796/2317	4844/5825	42/98	3/10
02BCF	0.7769540545487827	1822/2676	1825/2317	4788/5825	51/98	3/10
02BCFG	0.7809811458905364	1831/2676	1808/2317	4840/5825	51/98	3/10
02BCG	0.7600219659527732	1786/2676	1762/2317	4705/5825	48/98	3/10
02BD	0.8298553908109098	1944/2676	1901/2317	5171/5825	48/98	3/10
02BDE	0.8210690097016291	1923/2676	1882/2317	5115/5825	47/98	4/10
02BDEF	0.8234486545853926	1942/2676	1883/2317	5119/5825	47/98	6/10
02BDEFG	0.8222588321435109	1926/2676	1883/2317	5122/5825	47/98	6/10
02BDEG	0.8183232656049789	1907/2676	1878/2317	5109/5825	44/98	3/10
02BDF	0.8314113124656782	1959/2676	1919/2317	5151/5825	50/98	5/10
02BDFG	0.8310452132527915	1955/2676	1900/2317	5171/5825	49/98	5/10
02BDG	0.8255537250594911	1936/2676	1878/2317	5157/5825	46/98	3/10
02BE	0.7902251510159253	1845/2676	1833/2317	4909/5825	45/98	2/10
02BEF	0.7993776313380926	1862/2676	1852/2317	4969/5825	48/98	3/10
02BEFG	0.8008420281896393	1855/2676	1837/2317	5007/5825	46/98	5/10
02BEG	0.7896760021965953	1837/2676	1803/2317	4943/5825	42/98	3/10
02BF	0.7964488376349991	1867/2676	1856/2317	4928/5825	48/98	3/10
02BFG	0.7952590151931174	1848/2676	1838/2317	4952/5825	48/98	3/10
02BG	0.7803404722679846	1824/2676	1780/2317	4871/5825	49/98	2/10
02C	0.7564524986271279	1797/2676	1795/2317	4624/5825	47/98	2/10
02CD	0.8190554640307524	1923/2676	1887/2317	5089/5825	47/98	3/10
02CDE	0.8128317774116786	1899/2676	1872/2317	5062/5825	44/98	4/10
02CDEF	0.8175910671792056	1918/2676	1877/2317	5087/5825	45/98	6/10
02CDEFG	0.8167673439502106	1908/2676	1870/2317	5093/5825	47/98	6/10
02CDEG	0.8125572030020135	1894/2676	1869/2317	5069/5825	43/98	3/10
02CDF	0.8235401793886143	1937/2676	1907/2317	5103/5825	46/98	5/10
02CDFG	0.823082555372506	1933/2676	1889/2317	5120/5825	46/98	5/10
02CDG	0.8153944719018854	1907/2676	1866/2317	5087/5825	46/98	3/10
02CE	0.7753981328940143	1811/2676	1812/2317	4806/5825	41/98	2/10
02CEF	0.7869302580999451	1832/2676	1833/2317	4883/5825	47/98	3/10
02CEFG	0.7889438037708218	1838/2676	1812/2317	4918/5825	47/98	5/10
02CEG	0.7767710049423394	1821/2676	1791/2317	4830/5825	42/98	3/10
02CF	0.7741167856489108	1816/2676	1820/2317	4769/5825	50/98	3/10
02CFG	0.7782354017938862	1829/2676	1804/2317	4819/5825	48/98	3/10
02CG	0.7563609738239063	1784/2676	1759/2317	4671/5825	48/98	2/10
02D	0.8284825187625846	1940/2676	1903/2317	5158/5825	48/98	3/10
02DE	0.8204283360790774	1918/2676	1880/2317	5115/5825	47/98	4/10
02DEF	0.8228995057660626	1941/2676	1884/2317	5115/5825	45/98	6/10
02DEFG	0.8221673073402892	1925/2676	1880/2317	5125/5825	47/98	6/10
02DEG	0.8179571663920923	1907/2676	1876/2317	5107/5825	44/98	3/10
02DF	0.8305875892366832	1952/2676	1918/2317	5151/5825	49/98	5/10
02DFG	0.8301299652205748	1953/2676	1897/2317	5167/5825	48/98	5/10
02DG	0.8238147537982793	1929/2676	1876/2317	5148/5825	45/98	3/10
02E	0.7881200805418268	1842/2676	1824/2317	4902/5825	41/98	2/10
02EF	0.7975471352736592	1856/2676	1852/2317	4955/5825	48/98	3/10
02EFG	0.799835255354201	1853/2676	1833/2317	5002/5825	46/98	5/10
02EG	0.7883031301482701	1837/2676	1804/2317	4929/5825	40/98	3/10
02F	0.7938861431447922	1862/2676	1855/2317	4907/5825	47/98	3/10
02FG	0.7928793703093538	1846/2676	1829/2317	4936/5825	48/98	4/10
02G	0.7771371041552261	1816/2676	1780/2317	4847/5825	47/98	1/10
0B	0.7872963573128318	1808/2676	1822/2317	4927/5825	43/98	2/10
0BC	0.7470254438952956	1704/2676	1757/2317	4658/5825	41/98	2/10
0BCD	0.8126487278052352	1876/2676	1865/2317	5089/5825	47/98	2/10
0BCDE	0.8050521691378364	1855/2676	1857/2317	5038/5825	42/98	4/10
0BCDEF	0.8088962108731467	1888/2676	1853/2317	5047/5825	45/98	5/10
